Comment,Designator,Footprint,LCSC
".1uF","C2,C4,C101","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uF","C5","Capacitor_SMD:C_0805_2012Metric","C91245"
"1uF","C6","Capacitor_SMD:C_0805_2012Metric","C28323"
"22pf","C7,C8","Capacitor_SMD:C_0805_2012Metric","C1804"
"BAV70","D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118","Package_TO_SOT_SMD:SOT-23","C68978"
"Polyfuse","F101","Fuse:Fuse_1206_3216Metric","C69688"
"600R@100MHz","L101","Inductor_SMD:L_0603_1608Metric",""
"MX-NoLED","MX1,MX2,MX3,MX4,MX5,MX6,MX7,MX8,MX9,MX10,MX11,MX12,MX13,MX15,MX16,MX17,MX18,MX19,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX30,MX32,MX33,MX34,MX35,MX36,MX37,MX38","marbastlib-mx:SW_MX_1u",""
"5.1k","R101,R102","Resistor_SMD:R_0805_2012Metric","C27834"
"22","R2,R3","Resistor_SMD:R_0805_2012Metric","C17561"
"10k","R4,R5","Resistor_SMD:R_0805_2012Metric","C17414"
"SW_Push","SW1","Keebio-Parts:SW_SPST_TL3342","C318884"
"ATmega32U2-AU","U1","Package_QFP:TQFP-32_7x7mm_P0.8mm","C618733"
"SRV05-4","U102","Package_TO_SOT_SMD:SOT-23-6",""
"HRO-TYPE-C-31-M-12","USB101","Type-C:HRO-TYPE-C-31-M-12-Assembly","C165948"
"Crystal_GND24_Small","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
